306,78,38
309,77,39
315,78,40
311,78,39
308,78,39
284,75,37
288,77,39
254,70,36
241,66,33
205,58,30
180,51,27
180,51,27
175,49,25
182,52,27
223,61,31
251,68,33
276,71,32
291,77,39
307,77,39
306,79,40
316,74,38
313,76,38
313,73,39
317,75,39
316,75,40
317,76,39
313,79,39
299,76,38
270,72,37
250,67,34
212,59,30
191,56,28
184,53,27
180,51,26
178,50,25
179,50,26
182,51,26
212,59,29
212,58,29
238,66,34
268,74,37
285,76,38
309,79,40
310,79,40
317,76,39
317,79,40
312,72,37
311,71,37
312,72,37
306,69,37
317,75,39
313,80,40
291,78,39
258,70,34
230,65,33
199,56,28
182,51,26
178,50,25
178,52,28
177,50,26
185,52,27
207,58,30
260,70,35
272,74,37
292,77,38
291,76,39
308,80,40
306,77,38
309,79,40
314,80,40
314,77,39
314,77,39
297,78,39
286,75,38
247,69,35
230,65,33
195,55,27
180,52,27
176,50,27
176,51,26
176,50,25
180,52,27
196,55,28
225,64,32
251,70,35
272,74,37
280,75,38
286,77,38
296,78,39
296,78,39
303,77,38
302,78,39
307,78,39
294,75,38
285,76,37
262,71,36
226,63,32
207,58,29
185,54,28
180,52,27
177,50,25
176,50,26
176,50,26
177,50,25
176,50,26
176,51,26
177,50,25
179,52,26
177,52,27
176,49,25
177,50,26
179,51,27
176,50,25
178,52,27
177,50,25
176,50,26
178,50,26
180,51,26
181,51,25
178,49,25
180,52,28
179,51,27
182,53,27
181,53,28
192,55,29
195,56,29
197,57,30
197,56,30
195,54,28
199,57,30
195,56,28
196,56,29
197,56,29
197,55,28
193,54,27
199,55,28
200,57,30
197,55,28
201,56,29
210,59,31
195,55,29
199,55,28
196,54,28
196,55,28
197,56,29
190,54,28
186,55,28
184,53,26
183,53,27
181,52,25
182,54,27
173,51,24
172,52,25
167,48,23
170,50,26
172,52,26
172,50,25
178,53,27
180,52,25
192,54,26
189,54,28
195,55,28
187,55,28
190,55,29
191,54,28
187,52,26
192,55,28
186,53,27
191,56,29
190,55,28
188,54,27
191,55,28
182,51,26
187,55,29
186,52,27
187,53,28
190,55,29
203,58,29
209,60,30
198,57,27
201,58,29
195,57,28
194,55,28
193,54,27
191,54,27
188,54,28
195,56,28
190,54,27
200,58,28
194,57,29
194,55,27
188,53,26
187,53,27
191,54,27
189,54,28
192,54,27
200,57,28
206,58,27
196,57,29
194,56,29
195,56,28
181,53,29
186,53,28
198,57,28
197,57,29
197,57,28
193,56,27
193,55,27
192,53,27
193,54,27
200,58,28
210,60,30
210,60,30
210,60,30
199,56,29
213,61,31
210,60,29
201,58,28
190,54,28
180,51,26
201,57,28
207,59,29
199,57,29
187,53,27
191,54,27
189,55,24
200,57,29
245,71,34
295,78,39
317,78,39
316,77,39
314,79,40
315,79,40
296,77,39
270,73,36
199,57,28
188,54,28
182,53,27
178,52,27
179,52,27
181,52,27
212,59,29
236,65,32
290,76,38
307,77,38
316,77,40
314,79,40
303,78,39
284,77,37
205,58,29
182,52,27
177,51,28
176,50,26
182,53,27
199,57,29
241,66,33
282,75,37
309,77,38
310,78,38
300,78,39
275,74,37
201,57,30
176,50,25
174,49,25
