7,14,2
10,16,2
9,17,3
9,16,3
9,17,3
9,16,3
7,15,1
10,17,2
11,16,2
10,17,3
11,18,4
8,15,2
9,17,3
11,18,4
9,17,3
8,15,2
9,17,3
10,17,2
11,18,4
8,15,2
8,15,2
10,17,2
8,15,2
10,17,2
10,16,2
11,18,3
9,17,3
11,18,4
8,16,2
11,18,3
11,18,3
9,17,3
11,18,2
11,19,4
10,17,3
8,17,3
9,22,5
12,32,8
11,47,14
14,69,20
17,84,24
19,93,26
21,98,27
21,100,28
21,100,28
21,99,27
20,100,28
21,99,28
21,99,28
20,98,27
20,99,28
18,95,27
21,98,27
20,97,28
19,95,25
19,96,27
19,96,27
19,95,27
20,98,28
19,95,27
20,97,27
19,95,27
21,95,27
19,96,27
19,94,26
20,96,26
18,95,27
20,96,28
20,96,28
21,97,27
19,95,27
19,95,27
18,92,26
18,91,25
17,87,24
17,75,23
11,53,16
11,40,11
10,31,10
10,24,6
9,18,3
8,15,2
10,16,2
8,15,2
9,16,2
8,15,2
8,15,2
10,16,2
8,15,2
9,15,1
9,17,3
9,17,3
10,16,2
10,17,3
10,16,2
10,16,3
10,17,2
10,17,3
8,15,1
8,15,1
10,16,2
9,16,2
11,18,4
11,17,2
10,17,2
11,19,4
10,18,2
10,21,5
13,47,13
17,75,22
20,95,28
21,100,28
20,101,29
19,100,27
23,104,29
21,102,28
23,103,29
21,100,27
20,100,29
19,95,26
19,92,26
20,94,26
19,93,25
18,91,24
19,92,25
20,94,27
20,93,26
20,95,26
19,94,27
18,95,26
20,98,27
21,98,27
20,97,27
21,98,29
21,98,27
19,91,26
17,73,21
12,41,11
11,23,6
7,16,2
10,17,2
9,17,3
10,17,3
9,17,3
9,17,4
11,18,4
9,16,3
11,18,4
9,16,3
10,16,2
9,15,1
8,14,2
7,15,2
10,16,2
10,15,2
9,16,3
10,16,2
8,14,2
8,15,1
8,15,2
9,17,3
10,16,2
9,16,3
8,15,2
8,14,2
10,18,5
10,17,3
9,19,4
12,35,8
12,47,10
12,49,12
13,54,13
14,60,14
17,68,17
16,75,20
16,78,21
18,84,23
18,85,23
15,77,21
14,77,20
16,81,22
16,80,23
14,77,21
16,79,21
17,80,22
15,79,22
17,81,24
16,79,22
17,79,23
14,76,22
14,77,21
15,78,23
17,81,23
16,81,23
16,81,22
16,79,23
17,81,24
15,79,23
15,80,23
15,81,24
16,79,23
16,79,22
15,80,23
15,76,23
12,65,19
12,43,12
9,25,6
10,18,4
9,16,2
9,15,2
9,15,2
9,16,3
7,14,2
8,13,0
10,16,2
9,16,2
9,16,3
9,17,3
11,18,4
9,16,3
8,14,2
10,16,2
10,16,2
10,17,3
10,17,2
9,16,3
10,16,2
8,16,2
10,17,2
10,17,2
11,18,2
10,17,2
11,19,3
10,18,3
9,17,2
11,19,4
10,16,1
10,17,3
10,19,3
8,18,2
9,19,3
9,20,3
10,23,3
9,24,3
10,25,4
11,32,5
10,31,5
11,36,8
12,41,8
13,60,14
14,71,18
15,78,20
16,80,23
16,81,22
15,81,23
18,82,24
15,78,24
15,73,23
14,63,22
11,62,21
14,65,21
14,65,21
12,57,20
13,56,20
12,50,17
10,47,15
12,53,17
12,55,17
13,56,18
12,55,18
14,61,19
15,70,23
14,75,22
16,84,24
17,91,26
20,96,26
19,96,26
19,97,27
20,96,27
18,89,25
11,50,12
10,22,5
9,18,3
8,15,2
9,17,3
10,17,3
10,16,2
9,16,3
10,17,3
8,15,1
8,15,2
9,17,2
8,15,1
9,17,3
10,16,2
10,16,2
10,16,2
10,18,3
9,16,1
10,16,2
9,17,2
8,15,2
9,17,3
11,18,4
11,18,3
10,16,2
9,17,3
11,18,4
9,17,3
9,17,3
10,18,3
11,18,3
10,18,2
9,17,2
9,18,3
11,22,4
10,25,5
10,30,6
11,39,7
15,64,14
18,83,19
19,95,24
20,96,26
16,87,22
17,88,22
18,90,25
20,92,26
20,93,26
19,92,25
20,94,26
19,88,24
18,89,26
18,88,26
17,88,24
18,89,26
18,89,26
17,88,24
19,89,25
17,87,24
18,89,26
18,88,26
17,88,25
18,89,25
20,90,26
18,88,25
19,89,25
17,88,25
19,88,25
18,88,25
15,81,24
13,69,20
11,43,14
10,21,5
9,17,2
9,17,4
8,15,2
8,15,1
9,16,1
10,16,3
9,16,3
9,17,3
8,15,2
11,18,4
10,16,2
8,15,1
11,18,4
10,16,3
10,17,2
9,16,3
8,16,2
9,15,2
9,17,3
10,17,4
10,17,3
10,18,2
9,17,3
10,17,3
11,19,4
11,19,3
11,20,5
9,19,5
10,26,8
10,40,13
12,58,18
15,76,22
19,91,27
19,96,28
20,100,29
21,102,28
21,103,29
22,103,28
22,103,28
20,101,28
21,103,29
20,100,27
21,100,27
22,100,28
21,101,28
21,101,28
19,100,28
21,99,28
21,100,28
19,99,27
19,98,27
20,100,28
20,99,28
21,97,27
20,95,27
18,91,27
15,81,24
13,59,19
11,35,12
10,22,7
11,19,4
8,16,2
10,18,3
10,17,3
9,17,3
10,18,2
10,17,2
9,15,1
10,16,2
9,17,3
9,16,2
9,17,3
11,19,4
8,15,2
9,16,1
10,16,2
11,19,4
8,15,2
10,17,3
8,15,2
8,16,2
8,16,2
10,17,2
9,17,3
12,19,3
10,18,3
10,18,3
10,18,2
9,18,4
10,20,5
10,27,9
12,50,17
17,86,27
22,101,29
20,105,30
