42,34,30
42,33,30
41,32,29
42,35,31
42,34,30
42,33,30
43,34,30
42,33,29
41,33,30
41,33,30
42,34,30
41,32,29
40,33,30
41,32,29
41,34,29
42,33,30
40,32,30
41,33,31
41,32,29
42,34,30
41,33,31
42,33,30
41,34,31
41,32,30
42,33,30
41,32,29
42,35,31
43,35,31
41,32,29
42,35,31
42,34,30
41,34,31
42,32,29
41,33,31
39,31,28
41,34,30
42,33,30
42,33,29
40,32,29
41,34,30
41,33,31
42,34,32
42,35,31
40,32,30
43,35,32
41,33,31
40,31,29
42,34,30
42,33,29
41,33,31
42,33,30
41,32,29
41,32,29
41,33,30
43,36,31
44,35,31
45,35,31
46,36,32
59,46,38
66,51,43
71,50,43
74,50,44
74,51,45
74,50,45
74,51,45
75,48,43
73,48,43
46,27,26
13,11,7
45,25,23
47,27,25
74,48,44
74,50,45
67,50,44
62,48,41
58,45,38
50,41,35
44,35,32
44,35,31
43,33,30
43,35,31
43,35,31
43,35,31
42,34,31
42,34,31
44,35,31
44,36,31
52,41,35
60,45,39
66,48,42
68,49,43
74,52,46
72,49,43
73,46,41
74,47,43
63,37,34
73,46,43
70,44,40
72,51,45
71,51,46
61,46,41
58,45,39
47,37,34
41,34,31
44,34,30
42,33,31
44,35,31
43,33,30
42,34,29
48,37,32
50,41,36
56,43,38
64,48,42
65,47,42
76,52,46
73,50,43
75,48,46
75,50,45
74,50,44
74,50,45
64,37,34
69,41,40
73,47,42
71,52,45
68,50,44
58,44,38
54,44,38
44,37,33
43,36,31
43,33,30
42,35,30
43,36,31
42,34,31
42,34,31
45,37,33
53,43,38
57,43,38
70,51,44
69,50,44
73,50,45
74,48,43
70,43,41
72,44,41
62,36,35
55,32,29
73,46,42
73,48,45
66,50,42
57,45,38
45,37,32
44,35,31
43,34,30
44,35,31
43,35,30
41,33,30
42,33,30
43,36,31
42,34,31
42,34,31
50,40,34
57,43,37
68,49,43
72,51,42
73,50,43
70,44,41
69,42,40
63,37,34
69,42,38
69,41,40
74,47,43
74,48,42
72,51,45
67,48,42
61,47,40
53,43,38
43,35,31
41,34,31
41,34,31
44,36,31
42,35,31
44,36,32
51,41,35
55,44,39
67,50,44
69,51,44
71,51,44
72,48,44
71,46,42
71,45,41
74,50,44
71,45,42
72,50,45
73,50,45
68,51,45
64,49,43
54,43,37
47,38,33
44,36,31
43,35,32
43,34,30
41,32,29
43,33,31
45,37,33
62,47,41
73,50,44
73,51,45
73,47,43
72,47,44
67,40,38
56,32,31
66,38,36
62,36,33
74,48,43
73,50,45
64,48,42
54,44,39
42,34,31
43,35,31
42,33,30
41,34,31
42,33,31
42,33,30
42,35,32
51,41,36
61,48,41
64,49,42
67,49,44
69,49,43
75,51,45
73,50,44
68,40,38
72,45,41
61,34,33
69,42,39
67,40,38
73,48,42
63,46,41
54,43,38
47,38,32
42,33,31
41,33,30
42,34,30
42,34,29
44,35,31
42,33,29
45,35,32
61,48,41
62,46,40
71,51,44
69,51,44
73,51,44
73,49,43
70,43,40
68,42,40
70,43,40
74,49,44
71,52,44
61,46,40
52,40,36
50,40,35
44,36,32
42,33,30
42,34,31
41,32,30
43,35,31
43,35,31
47,38,32
51,41,36
55,44,38
57,44,37
68,50,43
68,49,43
71,45,42
71,46,42
49,28,27
44,26,24
37,23,20
37,21,19
69,41,38
73,46,42
66,49,43
62,47,39
48,38,33
45,37,31
43,36,32
43,33,30
43,36,31
41,32,30
44,35,32
53,42,37
56,45,39
59,47,40
59,45,39
69,52,45
70,49,43
70,44,41
74,49,43
24,16,13
9,9,6
25,16,13
38,24,20
67,40,38
72,49,44
58,46,40
53,43,37
47,38,33
44,36,31
41,33,30
44,35,31
43,33,30
44,36,32
50,39,36
54,42,36
64,48,41
65,50,42
66,50,43
65,48,41
68,49,43
70,52,44
69,50,44
70,51,44
67,50,43
68,49,43
62,49,41
57,45,39
47,38,35
44,36,32
42,34,31
43,33,30
44,35,31
42,33,30
42,33,30
43,35,31
42,33,31
41,33,30
41,32,29
43,33,30
43,35,31
42,35,30
43,35,32
40,33,30
42,33,31
42,34,30
40,31,29
43,34,30
42,35,31
41,32,29
44,35,31
43,34,30
43,35,30
43,35,30
42,33,30
40,33,30
42,34,30
42,34,30
43,35,31
41,34,31
41,32,30
42,35,31
42,33,30
43,34,30
41,32,29
42,33,31
42,34,31
42,33,30
43,35,31
42,34,31
43,36,32
41,32,29
44,35,31
43,36,32
43,36,32
42,32,30
42,33,31
44,35,31
43,33,31
42,34,31
43,36,32
43,34,30
42,35,31
42,33,31
42,34,31
44,34,30
44,36,32
42,34,31
42,34,31
44,36,32
41,33,30
43,34,30
43,35,30
43,34,31
44,36,31
43,35,30
42,33,30
44,34,31
44,36,32
44,36,32
43,34,31
41,33,30
44,34,35
43,34,32
44,34,31
43,34,32
43,33,31
43,34,31
44,35,31
43,34,32
43,35,31
44,36,33
42,35,32
42,33,30
44,36,33
42,35,31
44,35,30
42,34,31
42,34,31
45,35,31
43,34,32
44,34,31
45,36,33
44,35,31
43,34,32
43,35,32
44,36,32
45,37,32
44,37,33
43,34,31
43,35,32
43,35,32
43,33,30
43,33,30
40,32,30
42,33,29
41,33,30
40,32,29
40,32,30
40,33,30
42,34,31
42,33,31
44,36,31
43,34,30
41,33,28
41,33,29
41,32,29
43,36,32
43,34,30
