Timestep,Distance
188,400.0
189,406.0
190,413.0
191,422.00000000000006
192,431.0
193,442.00000000000006
194,455.0
195,469.0
196,484.99999999999994
197,502.99999999999994
198,523.0
199,546.0000000000001
200,523.0
201,503.0
202,485.0
203,469.00000000000006
204,454.99999999999994
205,442.00000000000006
206,430.99999999999994
207,422.0
208,413.00000000000006
209,406.0
210,400.0
211,395.00000000000006
212,390.0
213,386.99999999999994
214,384.00000000000006
215,382.0
216,381.0
217,380.0
218,381.0
219,382.0
220,383.99999999999994
221,386.99999999999994
222,390.0
223,395.0
224,399.99999999999994
225,406.0
226,413.0
227,422.0
228,431.0
229,442.00000000000006
230,455.00000000000006
231,469.00000000000006
232,485.0
233,503.0
234,523.0
235,546.0
236,523.0
237,503.0
238,485.0
239,469.00000000000006
240,455.0
241,442.00000000000006
242,431.0
243,422.0
244,413.0
245,406.0
246,400.00000000000006
247,395.00000000000006
248,390.0
249,386.99999999999994
250,383.99999999999994
251,382.0
252,381.0
253,380.0
254,381.0
255,382.0
256,383.99999999999994
257,386.99999999999994
258,390.0
259,395.0
260,400.00000000000006
261,406.00000000000006
262,413.0
263,422.0
264,431.0
265,442.0
266,454.99999999999994
267,469.00000000000006
268,485.0
269,503.0
270,523.0
271,546.0
272,523.0
273,503.0
274,485.0
275,469.00000000000006
276,454.99999999999994
277,442.0000000000001
278,431.0
279,422.0
280,413.0
281,406.00000000000006
282,400.00000000000006
283,395.0
284,390.0
285,386.99999999999994
286,383.99999999999994
287,382.0
288,381.0
289,380.0
290,381.0
291,382.0
292,383.99999999999994
293,386.99999999999994
294,390.0
295,395.0
296,400.00000000000006
297,406.0
298,413.00000000000006
299,421.99999999999994
300,430.99999999999994
301,442.0
302,455.00000000000006
303,469.00000000000006
304,485.0
305,502.99999999999994
306,523.0
307,546.0
308,523.0
309,503.0
310,485.0
311,469.00000000000006
312,455.00000000000006
313,442.0
314,431.00000000000006
315,422.0
316,413.0
317,406.0
318,400.0
319,394.99999999999994
320,389.99999999999994
321,386.99999999999994
322,384.00000000000006
323,382.0
324,381.0
325,380.0
326,381.0
327,382.0
328,383.99999999999994
329,386.99999999999994
330,390.0
331,395.0
332,400.0
333,406.0
334,413.0
335,422.00000000000006
336,431.0
337,442.00000000000006
338,455.0
339,469.0
340,484.99999999999994
341,502.99999999999994
342,523.0
343,546.0000000000001
344,523.0
345,503.0
346,485.0
347,469.00000000000006
348,454.99999999999994
349,442.00000000000006
350,430.99999999999994
351,422.0
352,413.00000000000006
353,406.0
354,400.0
355,395.00000000000006
356,390.0
357,386.99999999999994
358,384.00000000000006
359,382.0
360,381.0
361,380.0
362,381.0
363,382.0
364,383.99999999999994
365,386.99999999999994
366,390.0
367,395.0
368,399.99999999999994
369,406.0
370,413.0
371,422.0
372,431.0
373,442.00000000000006
374,455.00000000000006
375,469.00000000000006
376,485.0
377,503.0
378,523.0
379,546.0
380,523.0
381,503.0
382,485.0
383,469.00000000000006
384,455.0
385,442.00000000000006
386,431.0
387,422.0
388,413.0
389,406.0
390,400.00000000000006
391,395.00000000000006
392,390.0
393,386.99999999999994
394,383.99999999999994
395,382.0
396,381.0
397,380.0
398,381.0
399,382.0
400,383.99999999999994
401,386.99999999999994
402,390.0
403,395.0
404,400.00000000000006
405,406.00000000000006
406,413.0
407,422.0
408,431.0
409,442.0
410,454.99999999999994
411,469.00000000000006
412,485.0
413,503.0
414,523.0
415,546.0
416,523.0
417,503.0
418,485.0
419,469.00000000000006
420,454.99999999999994
421,442.0000000000001
422,431.0
423,422.0
424,413.0
425,406.00000000000006
426,400.00000000000006
427,395.0
428,390.0
429,386.99999999999994
430,383.99999999999994
431,382.0
432,381.0
433,380.0
434,381.0
435,382.0
436,383.99999999999994
437,386.99999999999994
438,390.0
439,395.0
440,400.00000000000006
441,406.0
442,413.00000000000006
443,421.99999999999994
444,430.99999999999994
445,442.0
446,455.00000000000006
447,469.00000000000006
448,485.0
449,502.99999999999994
450,523.0
451,546.0
452,523.0
453,503.0
454,485.0
455,469.00000000000006
456,455.00000000000006
457,442.0
458,431.00000000000006
459,422.0
460,413.0
461,406.0
462,400.0
463,394.99999999999994
464,389.99999999999994
465,386.99999999999994
466,384.00000000000006
467,382.0
468,381.0
469,380.0
470,381.0
471,382.0
472,383.99999999999994
473,386.99999999999994
474,390.0
475,395.0
476,400.0
477,406.0
478,413.0
479,422.00000000000006
480,431.0
481,442.00000000000006
482,455.0
483,469.0
484,484.99999999999994
485,502.99999999999994
486,523.0
487,546.0000000000001
488,523.0
489,503.0
490,485.0
491,469.00000000000006
492,454.99999999999994
493,442.00000000000006
494,430.99999999999994
495,422.0
496,413.00000000000006
497,406.0
498,400.0
499,395.00000000000006
500,390.0
