0.0,0.0
0.0,0.0
1.998,86.3
4.995,86.3
9.99,190.8
13.986,190.8
18.981,190.8
22.977,63.4
27.972,60.9
32.967,59.8
37.962,59.7
41.958,59.0
46.953,58.6
51.948,59.0
56.943,58.8
60.939,59.7
64.935,60.3
69.93,60.9
73.926,63.4
78.921,63.4
83.916,82.6
88.911,82.7
93.906,82.7
97.902,82.7
102.897,82.7
107.892,59.8
112.887,58.6
117.882,58.6
121.878,58.0
126.873,57.3
131.868,57.4
136.863,57.4
141.858,57.4
145.854,57.4
150.849,57.3
155.844,58.0
160.839,58.6
165.834,58.8
169.83,59.9
174.825,61.4
179.82,61.4
183.816,81.9
188.811,81.9
193.806,81.9
198.801,81.9
203.796,58.1
208.791,57.4
212.787,57.4
217.782,56.7
222.777,56.3
227.772,56.3
231.768,56.3
236.763,56.7
241.758,56.7
246.753,57.8
251.748,57.8
256.743,58.1
260.739,60.3
265.734,60.3
270.729,80.4
275.724,80.4
280.719,80.4
285.714,81.2
290.709,81.2
295.704,58.6
300.699,56.7
305.694,56.1
309.69,55.4
314.685,55.4
318.681,55.4
324.675,55.4
328.671,55.4
333.666,55.4
338.661,56.3
342.657,56.9
347.652,58.0
352.647,59.0
357.642,59.7
362.637,59.7
367.632,59.7
372.627,85.6
376.623,255.0
381.618,255.0
386.613,255.0
390.609,255.0
395.604,60.7
399.6,59.9
404.595,59.5
409.59,59.0
413.586,59.5
418.581,59.5
422.577,59.8
427.572,59.8
432.567,62.4
436.563,63.9
441.558,63.9
446.553,82.7
451.548,82.7
455.544,83.1
460.539,83.1
466.533,83.1
471.528,59.2
475.524,58.2
480.519,57.3
485.514,57.6
490.509,57.0
494.505,56.9
499.5,56.3
504.495,56.9
509.49,56.9
513.486,56.9
518.481,57.3
523.476,57.8
528.471,58.2
533.466,58.8
538.461,60.9
543.456,60.9
547.452,60.9
552.447,60.9
557.442,60.9
562.437,60.9
567.432,57.3
572.427,56.9
576.423,56.2
581.418,56.3
586.413,56.3
591.408,55.9
596.403,55.9
601.398,55.9
606.393,56.3
611.388,56.9
615.384,58.0
620.379,58.2
625.374,62.6
630.369,62.6
636.3629999999999,81.4
641.358,80.4
645.354,81.0
650.349,81.0
655.344,81.0
660.339,58.6
665.334,57.2
669.33,56.7
674.325,56.3
679.32,56.1
684.315,56.1
689.31,56.1
694.305,56.1
699.3,56.3
703.296,56.7
708.291,56.9
713.286,58.1
