1732227689.155242,"state(us_sensor=0.0, color_sensor='unknown', color_sensor2='unknown', g_sensor=-2)"
1732227689.2086604,"state(us_sensor=0.0, color_sensor='unknown', color_sensor2='unknown', g_sensor=-2)"
1732227689.2616498,"state(us_sensor=0.0, color_sensor='unknown', color_sensor2='unknown', g_sensor=-2)"
1732227689.3138232,"state(us_sensor=0.0, color_sensor='unknown', color_sensor2='unknown', g_sensor=-2)"
1732227689.3661368,"state(us_sensor=0.0, color_sensor='unknown', color_sensor2='unknown', g_sensor=-2)"
1732227689.4183521,"state(us_sensor=0.0, color_sensor='unknown', color_sensor2='unknown', g_sensor=-2)"
1732227689.4705443,"state(us_sensor=0.0, color_sensor='unknown', color_sensor2='unknown', g_sensor=-2)"
1732227689.5228925,"state(us_sensor=0.0, color_sensor='unknown', color_sensor2='unknown', g_sensor=-2)"
1732227689.5754201,"state(us_sensor=0.0, color_sensor='unknown', color_sensor2='unknown', g_sensor=-2)"
1732227689.6281674,"state(us_sensor=0.0, color_sensor='unknown', color_sensor2='unknown', g_sensor=-2)"
1732227689.680632,"state(us_sensor=0.0, color_sensor='unknown', color_sensor2='unknown', g_sensor=-2)"
1732227689.7328072,"state(us_sensor=0.0, color_sensor='unknown', color_sensor2='unknown', g_sensor=-2)"
1732227689.785238,"state(us_sensor=0.0, color_sensor='unknown', color_sensor2='unknown', g_sensor=-2)"
1732227689.8375714,"state(us_sensor=0.0, color_sensor='unknown', color_sensor2='unknown', g_sensor=-2)"
1732227689.8898199,"state(us_sensor=0.0, color_sensor='unknown', color_sensor2='unknown', g_sensor=-2)"
1732227689.9418592,"state(us_sensor=0.0, color_sensor='unknown', color_sensor2='unknown', g_sensor=-2)"
1732227689.994918,"state(us_sensor=0.0, color_sensor='unknown', color_sensor2='unknown', g_sensor=-2)"
1732227690.0476394,"state(us_sensor=0.0, color_sensor='unknown', color_sensor2='unknown', g_sensor=-2)"
1732227690.1002758,"state(us_sensor=0.0, color_sensor='unknown', color_sensor2='unknown', g_sensor=-2)"
1732227690.1528177,"state(us_sensor=0.0, color_sensor='unknown', color_sensor2='unknown', g_sensor=-2)"
1732227690.2055879,"state(us_sensor=0.0, color_sensor='unknown', color_sensor2='unknown', g_sensor=-2)"
1732227690.257994,"state(us_sensor=0.0, color_sensor='unknown', color_sensor2='unknown', g_sensor=-2)"
